Classe2;Sample.ID;LD1;LD2;LD3;LD4
FORSU;20;-0.8211457311209038;-0.4847955643704974;-0.536909707987963;0.5377234886857305
FORSU;19;-0.8581450141885574;1.5079529381941512;-0.8325447929067201;1.5141545993620298
FORSU;2;-1.211128468670347;2.7873164889066646;-0.5588965665085435;-0.7864892846338069
FORSU;47;-0.02504252082059124;-1.2332164949042654;0.23255003084373713;-0.9608372391436034
FORSU;47;-0.5015636599804122;1.594961898578365;1.0733192455402767;0.7625280502177809
FORSU;10;-0.9579792044867932;1.207729844056297;-1.2033719865272579;-0.16263501946260242
FORSU;47;-0.8878645632408366;0.8093625986701332;-0.43981426298822235;0.24128616467550515
FORSU;47;-0.447510268626714;0.755562260309633;0.5619814586633083;-0.25231815753789316
FORSU;19;-0.9929086534257102;1.5051504701264746;-1.1622199507498228;0.5741533083398834
FORSU;31;-2.4965120114011765;-0.5280102382476239;1.0341961935712944;-0.5635380714347915
FORSU;31;-2.0022196261302865;1.1701458487066925;0.8397246547348179;-0.996298791038385
FORSU;31;-1.5837434816462301;1.9776043531209488;0.7621875926886849;-0.7492300615102542
FORSU;31;-1.0252753232628846;2.1516881210219103;1.3392885805118735;0.36689137627758567
FORSU;31;-1.3142009874869427;2.747583396035289;0.7596054567870025;-1.0013023335718405
FORSU;2;-1.5800246720501843;1.587998483993332;-0.35529825684063204;-3.1023749522745203
PERCOLATO;55;0.25375339699073834;-0.05044041643556994;1.6435584582216167;0.6813965975088029
PERCOLATO;55;-0.01597107993001087;-0.24902478763002317;1.5842733580545765;0.46544999120316294
PERCOLATO;55;0.11136327599366536;-0.8375831885509698;1.1039498986181195;0.10010835400707321
PERCOLATO;55;0.30598670130760547;0.17453566911298202;1.7928609595698082;0.31336850758162
PERCOLATO;30;-1.8217550614597737;1.7912318121825463;1.2460638990070665;-0.01633129258468984
PERCOLATO;37;-1.6014537087236176;1.0061194387187087;0.8631229015635327;-0.22962765493641768
PERCOLATO;16;-0.9702368505175508;1.0603679123362426;1.6151980565537267;0.4636012997533956
PERCOLATO;16;-1.111271473438781;1.6897732782786756;1.0102490791233085;0.3350313796405709
PERCOLATO;16;-0.9318739502765132;2.4628482481363836;1.6183958347827474;0.39531948966977504
PERCOLATO;16;-1.2298082869670763;2.3407617546865165;0.2521529107132623;0.06263641747721564
PERCOLATO;22;-0.9771227038669107;-0.3588430863665558;1.0137704247903148;0.4576168687090795
PERCOLATO;22;-1.003902828778775;0.8343194073211903;1.1571636666423766;0.2790927347122785
PERCOLATO;22;-1.8298305279628342;-0.05651202935124438;-0.7690934958172138;-1.0225732183303295
